joint-list,,,biomechanical-knowledge,,,,EMS parameters (per-participant pre-calibrated),,,,,,
joint,movement,direction,range_max,parent joint,parent movement,parent direction,channel-left,channel-right,pulse_width,intensity-left,intensity-right,pulse_count,delay
pinky,adduction,inward,-20,wrist,adduction (twist),inward,67,68,250,6,6,20,0.001
pinky,flexion,inward,90,wrist,flexion,inward,61,62,250,6,6,20,0.001
pinky,extension,outward,40,wrist,extension,outward,63,64,250,6,6,20,0.001
pinky,abduction,upward,20,wrist,abduction (twist),upward,65,66,250,6,6,20,0.001
pinky,adduction,downward,-20,wrist,adduction (twist),downward,67,68,250,6,6,20,0.001
pinky,flexion,downward,90,wrist,flexion,downward,61,62,250,6,6,20,0.001
pinky,extension,upward,40,wrist,extension,upward,63,64,250,6,6,20,0.001
pinky,abduction,inward,20,wrist,abduction (twist),inward,65,66,250,6,6,20,0.001
pinky,adduction,outward,-20,wrist,adduction (twist),outward,67,68,250,6,6,20,0.001
,,,,,,,,,,,,,
grip,flexion,upward,90,,,,69,70,250,10,10,40,0.001
grip,flexion,inward,90,,,,69,70,250,10,10,40,0.001
grip,flexion,downward,90,,,,69,70,250,10,10,40,0.001
grip,flexion,forwad,90,,,,69,70,250,10,10,40,0.001
release,extension,upward,90,,,,71,72,250,10,10,40,0.001
release,extension,outward,90,,,,71,72,250,10,10,40,0.001
release,extension,downward,90,,,,71,72,250,10,10,40,0.001
release,extension,backward,90,,,,71,72,250,10,10,40,0.001
,,,,,,,,,,,,,
,,,,,,,,,,,,,
push,flexion,forward,0,elbow,extension,forward,,,,,,,
pull,extension,backward,0,elbow,flexion,backward,,,,,,,
push,flexion,upward,0,elbow,extension,upward,,,,,,,
pull,extension,downward,0,elbow,flexion,downward,,,,,,,
push,flexion,downward,0,elbow,extension,downward,,,,,,,
pull,extension,upward,0,elbow,flexion,upward,,,,,,,
push,flexion,inward,0,elbow,extension,inward,,,,,,,
pull,extension,outward,0,elbow,flexion,outward,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
knee,flexion,downward,150,,,,73,74,300,24,24,60,0.001
knee,extension,upward,150,,,,75,76,300,24,24,60,0.001
,,,,,,,,,,,,,
ankle,supination,outward,60,,,,77,78,300,14,14,40,0.001
ankle,pronation,inward,30,,,,79,80,300,14,14,40,0.001
ankle,flexion,upward,25,knee,extension,upward,81,82,300,14,14,40,0.001
ankle,extension,downward,45,knee,flexion,downward,83,84,300,14,14,40,0.001
ankle,eversion,outward,18,,,,85,86,300,14,14,40,0.001
ankle,inversion,inward,30,,,,87,88,300,14,14,40,0.001
,,,,,,,,,,,,,
neck,flexion,downward,50,,,,,,,,,,
neck,extension,upward,70,,,,,,,,,,
neck,rotation,clockwise,70,,,,,,,,,,
neck,rotation,counterclockwise,70,,,,,,,,,,
neck,lateral,left,40,,,,,,,,,,
,,,,,,,,,,,,,
neck,lateral,right,40,,,,,,,,,,
